"taxon","diff_InmunosuprimidoNo","diff_InmunosuprimidoSí","p_InmunosuprimidoNo","p_InmunosuprimidoSí","q_InmunosuprimidoNo","q_InmunosuprimidoSí","lfc_InmunosuprimidoNo","lfc_InmunosuprimidoSí"
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Dielma",FALSE,FALSE,0.13446482876825,0.601743718351324,0.231600255648401,0.844872493442768,0.359851121160219,-0.306589614902237
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Faecalitalea",FALSE,FALSE,0.036528758421205,0.766560804487317,0.0846249570091248,0.927717292070323,-0.527978388032115,-0.184216893807422
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Holdemanella",FALSE,TRUE,0.223151429299208,0.00332534897488183,0.323104673672812,0.0210101594322079,0.393712497546995,-2.06402266228329
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Holdemania",TRUE,FALSE,0.000123819960447553,0.229688923591986,0.000956165250122774,0.425690138390481,1.10781675021224,-0.679853449347094
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Merdibacter",FALSE,TRUE,0.390407861230189,0.000815845402223718,0.511949931235813,0.00667073593582923,-0.210457886663235,2.04612918136332
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Solobacterium",FALSE,FALSE,0.709421616125268,0.281682181110273,0.80170410277571,0.501972091978564,-0.101642769282307,-0.663687871099249
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Turicibacter",FALSE,TRUE,0.0657734756355658,2.99113234054347e-05,0.134448722255053,0.000461963772595047,-0.443848811525024,-2.65880715006323
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus",FALSE,FALSE,0.0915378848904324,0.0627037643283566,0.179207971827748,0.174652648475338,-0.780948533470591,1.77692161623321
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lacticaseibacillus",TRUE,FALSE,0.00118769232959347,0.758938167332879,0.0061144160671664,0.927717292070323,-1.13312812644669,-0.246304282295181
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus",TRUE,FALSE,0.0129365617500527,0.780884339368546,0.038259193260794,0.927717292070323,0.879480943078641,0.217218677267731
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Leuconostoc",TRUE,FALSE,4.78394414784799e-06,0.344229914609615,8.31210295688588e-05,0.583511684521176,1.24260085339199,-0.550162721914426
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus",TRUE,FALSE,8.73835277334085e-05,0.047279006705439,0.000759144397183986,0.147041191801931,-1.13231212134882,-1.23838884744345
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus",FALSE,FALSE,0.893290135201756,0.168049501032128,0.911228047761091,0.348640009603968,0.0405619594394117,-0.933166960546117
"Bacteria|Firmicutes|Bacilli|Lactobacillales|P5D1-392|P5D1-392",TRUE,FALSE,1.59134348619758e-05,0.0347224636492814,0.000184330620484554,0.117717620664637,-1.29577687512566,-1.37190750604716
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus",FALSE,FALSE,0.802483300132418,0.777657019826599,0.858532645326028,0.927717292070323,-0.0649557441772039,-0.198080726500803
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus",FALSE,FALSE,0.087973288238479,0.683878473651592,0.174689815216408,0.880176924421956,-0.679855787068383,0.287691611185413
"Bacteria|Firmicutes|Bacilli|RF39|RF39|RF39",FALSE,FALSE,0.509196928315479,1,0.631949759248675,1,-0.150898167313693,0
"Bacteria|Firmicutes|Bacilli|Staphylococcales|Gemellaceae|Gemella",TRUE,FALSE,0.0180193738783001,0.387311642811465,0.047722986536573,0.626003701753415,-0.571594659447396,0.523638326983222
"Bacteria|Firmicutes|Bacilli|Staphylococcales|Staphylococcaceae|Staphylococcus",FALSE,FALSE,0.110737121334709,0.674245051637973,0.202532366651639,0.880176924421956,-0.63955754669538,-0.384289953462043
"Bacteria|Firmicutes|Clostridia",FALSE,TRUE,0.186566083683736,0.00782695987507695,0.284974567385047,0.0381078348552989,-0.365400234809083,-1.6616592939777
"Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae",FALSE,FALSE,0.56800613739575,0.55403258599315,0.680628043948356,0.785821729112733,0.134929891943425,0.344393930882213
"Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae|Christensenella",TRUE,FALSE,0.0189937035668574,0.664474427157396,0.0488911999220958,0.880176924421956,0.573260242713956,0.25624566234286
"Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae|Christensenellaceae_R-7_group",FALSE,FALSE,0.178558254397767,0.0996204959681224,0.278871880463928,0.247357055287598,0.371899546807778,-0.96962955863415
"Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014|Clostridia_UCG-014",FALSE,TRUE,0.0413962321616991,1.30786322453279e-07,0.0943291191881339,6.05976627366857e-06,-0.559732519413077,-3.41828108051992
"Bacteria|Firmicutes|Clostridia|Clostridia_vadinBB60_group|Clostridia_vadinBB60_group|Clostridia_vadinBB60_group",TRUE,FALSE,0.00288254106349433,0.621394120084463,0.011129811328492,0.863737826917404,-1.01461486470418,-0.342804699682232
"Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium_sensu_stricto_1",TRUE,FALSE,9.18544728015876e-07,1,1.82396738848867e-05,1,-1.52901338026274,0
"Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriaceae|Eubacterium",FALSE,FALSE,0.277903267376013,1,0.394168920053733,1,0.284414746374562,0
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Defluviitaleaceae|Defluviitaleaceae_UCG-011",FALSE,FALSE,0.642069594286873,1,0.7375840793874,1,-0.101563534105277,0
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae",FALSE,TRUE,0.889845383537869,0.00822471255869761,0.911228047761091,0.0381078348552989,0.041484841500213,1.41594836401506
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Anaerostipes",TRUE,FALSE,0.00251147053206964,0.208674461455081,0.0102674824693435,0.397339043044606,0.803046639682182,0.750689799121649
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Blautia",TRUE,TRUE,0.00267809357220769,0.000758152962397112,0.0106358573296248,0.00658645386082491,0.910320013518155,2.04039508983251
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Coprococcus",FALSE,FALSE,0.172840890590532,0.430102847731788,0.276148089564183,0.674086293512885,-0.324521174856752,0.467462923841458
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Dorea",FALSE,FALSE,0.827129830300519,0.789361370663378,0.872912313102991,0.929840936628894,-0.0520873610398293,0.167885958583051
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Eisenbergiella",TRUE,FALSE,0.00521303793706913,0.705264000891443,0.0181153068313152,0.89937335893496,-0.760834351132418,-0.240539736660135
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Eubacterium_fissicatena_group",TRUE,FALSE,0.0161001749849272,0.0628246936961648,0.0447584864580975,0.174652648475338,-0.555912125180823,-1.12778481228658
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Eubacterium_hallii_group",FALSE,FALSE,0.0326597781127766,0.408153271752354,0.0782708475461371,0.652106951420428,-0.558754889769415,-0.532956955433748
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Fusicatenibacter",TRUE,FALSE,0.00943813501859677,0.0832204944873483,0.0310742629910271,0.222454783341181,-0.638122882368214,1.07598201239349
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|GCA-900066755",TRUE,FALSE,0.00961290150082132,0.155507108847832,0.0310742629910271,0.338396456432322,-0.624062195478073,-0.859420120432033
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Howardella",TRUE,FALSE,0.000354728878105925,0.0134840242586053,0.00259512179245914,0.0519834712025857,0.90471235018781,-1.50996707638975
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Hungatella",TRUE,FALSE,0.0181965344348084,0.386711207455689,0.047722986536573,0.626003701753415,0.7975628642751,-0.512467270507684
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium",FALSE,FALSE,0.466803885136093,0.656444720548697,0.595282018659788,0.880176924421956,0.236613412808738,-0.285500432910115
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Ruminococcus_gauvreauii_group",TRUE,FALSE,0.00114342707428976,0.0226672896218499,0.00611293705101066,0.0807885450624906,-0.865206476504188,-1.44810893893491
