"taxon","diff_VMNI.durante.el.ingresoNo","diff_VMNI.durante.el.ingresoSí","p_VMNI.durante.el.ingresoNo","p_VMNI.durante.el.ingresoSí","q_VMNI.durante.el.ingresoNo","q_VMNI.durante.el.ingresoSí","lfc_VMNI.durante.el.ingresoNo","lfc_VMNI.durante.el.ingresoSí"
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus",FALSE,FALSE,0.708772547795408,0.496757749668106,0.800970602793185,0.663935838498719,-0.141648828342243,0.462126093221457
"Bacteria|Firmicutes|Bacilli|RF39|RF39|RF39",FALSE,TRUE,0.116150349414326,0.0012159152582884,0.224234702341546,0.0064292399421527,0.328301452302984,-1.63529507207508
"Bacteria|Firmicutes|Bacilli|Staphylococcales|Gemellaceae|Gemella",TRUE,FALSE,1.21851941986822e-06,0.442302213817656,1.53976544874256e-05,0.614800077206542,-1.1412968587257,0.377209610014178
"Bacteria|Firmicutes|Bacilli|Staphylococcales|Staphylococcaceae|Staphylococcus",FALSE,FALSE,0.211769021807484,0.17790302549532,0.350427309895717,0.309106506798118,-0.495955553732633,-1.03979904965479
"Bacteria|Firmicutes|Clostridia",FALSE,TRUE,0.354807852861107,0.00446111022479009,0.508435995337051,0.0167593059796168,0.241467611348571,-1.52624153037514
"Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae",TRUE,FALSE,0.0128792327452875,0.897787690729426,0.0351022225802934,0.967383635747211,0.561131339295888,0.0569557477375733
"Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae|Christensenella",FALSE,TRUE,0.142728020242064,0.0122284543031277,0.264019070996831,0.0333285323163675,0.314565149090889,-1.16433263686185
"Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae|Christensenellaceae_R-7_group",TRUE,FALSE,0.0152989371367898,0.40968921922681,0.0401236275851658,0.590092384082545,0.625861165778891,-0.386007741571846
"Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014|Clostridia_UCG-014",FALSE,TRUE,0.390897836446742,0.000336843671302354,0.54592401531212,0.0028239165921735,0.212210736267611,-2.14430053595932
"Bacteria|Firmicutes|Clostridia|Clostridia_vadinBB60_group|Clostridia_vadinBB60_group|Clostridia_vadinBB60_group",FALSE,TRUE,0.0653975220057536,6.9855017526122e-06,0.142035243106246,0.000200854488779213,-0.578255350250981,-2.65653642266995
"Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium_sensu_stricto_1",TRUE,FALSE,5.7025853164124e-07,0.0521180366230805,7.92659358981323e-06,0.116110114319542,-1.44764622195074,-0.998925534206388
"Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriaceae|Eubacterium",FALSE,TRUE,0.368781506510118,3.24453703623378e-10,0.52306764698884,4.50990648036496e-08,0.211937253558166,-3.4741635135413
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Defluviitaleaceae|Defluviitaleaceae_UCG-011",FALSE,FALSE,0.258369509978553,1,0.399037354300209,1,0.222570849518534,0
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae",FALSE,FALSE,0.574234308977774,0.590744277859661,0.719086206737933,0.720293461600815,0.154996125910274,0.246002747745695
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Anaerostipes",TRUE,FALSE,5.36567919556885e-06,0.612949252753953,5.47589437051211e-05,0.722033441803385,1.1519537056569,0.27833429744116
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Blautia",TRUE,FALSE,3.70741073706344e-07,0.747307400208274,5.72588991613132e-06,0.851440398597951,1.40478254913991,0.203312367055076
