"taxon","diff_SexoHombre","diff_SexoMujer","p_SexoHombre","p_SexoMujer","q_SexoHombre","q_SexoMujer","lfc_SexoHombre","lfc_SexoMujer"
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Catenibacterium",TRUE,TRUE,1.24226420794593e-10,9.51944391249304e-09,1.72674724904484e-08,3.30800675959133e-07,-3.63060727887629,-3.27772535711311
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Coprobacillus",FALSE,TRUE,0.198575391712676,0.00843225221653574,0.334742820046139,0.0300534117461146,0.53891998882481,1.21350077007107
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Erysipelatoclostridium",TRUE,TRUE,0.00288912289031718,0.00571859057751015,0.0148736326575588,0.0214833537911868,-1.26813320234857,-1.29263155079261
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|Erysipelotrichaceae_UCG-003",FALSE,FALSE,0.678673510914054,0.56185030701741,0.81323808635391,0.703578312391172,-0.164043578980554,0.247772287632384
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae",TRUE,TRUE,1.04978396467312e-09,2.01038997658328e-09,7.29599855447819e-08,1.39722103372538e-07,3.13450470714051,3.21334438732078
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Clostridium_innocuum_group",FALSE,FALSE,0.0307937192119003,0.0552998967435968,0.0930505863142204,0.130282807582372,-1.1107821178726,-1.07806880007565
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Dielma",FALSE,FALSE,1,0.465758990959315,1,0.638522319754986,0,-0.309066054525061
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Faecalitalea",FALSE,TRUE,0.0615731464744277,0.0137957576031895,0.147446902535173,0.0426135623742966,-0.815869414993424,-1.17244961254524
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Holdemanella",FALSE,FALSE,0.0169012814876057,0.298889437384971,0.0673512160780659,0.486465029853681,-1.18189512204937,-0.544741652638186
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Holdemania",FALSE,FALSE,0.138588874156807,0.816812996669062,0.256507508022194,0.88048320554843,-0.612949083001172,0.107298565863483
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Merdibacter",FALSE,FALSE,0.0444761959548506,0.129254210387968,0.120289303673411,0.260381670201849,0.830589614854404,0.675885579735019
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Solobacterium",FALSE,FALSE,0.0274509160586031,0.44990478681962,0.0867199393669506,0.63168449866593,0.916494194410536,0.318259945314834
"Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Turicibacter",TRUE,FALSE,0.00286088314790587,0.0525546877756097,0.0148736326575588,0.128159677207189,1.23455029832601,0.832317955394146
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus",FALSE,FALSE,0.367670193141593,0.303877758542833,0.532355800486265,0.486465029853681,0.646193432894453,-0.782596843225027
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lacticaseibacillus",FALSE,TRUE,0.19541401866844,0.0133537619297889,0.334742820046139,0.0426135623742966,0.672021927787301,1.29996628426049
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus",FALSE,FALSE,0.631218846789231,0.191239552400123,0.776455041625691,0.359220240319149,-0.25318930883645,0.747342596665762
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Leuconostoc",TRUE,TRUE,0.000111949797991438,3.25562339504444e-05,0.00103740146138733,0.000411392410828343,1.61473097989664,1.86378017762218
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus",TRUE,TRUE,1.73163837689938e-06,7.30537737345407e-09,4.01162890648356e-05,3.30800675959133e-07,2.51351004529457,3.74883581931002
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus",FALSE,FALSE,0.450572292544379,0.67803679707321,0.614015182977144,0.798704362654036,-0.381139291932274,-0.225845414778864
"Bacteria|Firmicutes|Bacilli|Lactobacillales|P5D1-392|P5D1-392",FALSE,TRUE,0.740553644342554,4.3344872189398e-05,0.857807971363459,0.000502078102860527,-0.134826360649288,2.26210244835476
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus",FALSE,TRUE,0.0558494910374532,8.38752851795233e-05,0.139986018120904,0.000806085190127014,0.787248492967197,1.88465202024862
"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus",FALSE,TRUE,0.0817706717995375,0.00144529151618932,0.18332457064735,0.00692743175001087,1.16468044500958,2.24191628253376
"Bacteria|Firmicutes|Bacilli|RF39|RF39|RF39",TRUE,TRUE,0.00223269535737923,1.17538437648222e-06,0.0124137861870285,2.72297380551714e-05,-1.37110513615504,-2.7031915563504
"Bacteria|Firmicutes|Bacilli|Staphylococcales|Gemellaceae|Gemella",FALSE,FALSE,0.540914061390833,0.0345035458460838,0.696176430864128,0.0856427298679579,0.247019533942346,0.94018903964655
"Bacteria|Firmicutes|Bacilli|Staphylococcales|Staphylococcaceae|Staphylococcus",FALSE,FALSE,0.233759460670367,0.0221714679209436,0.372089600633638,0.0652990688190221,0.685949169603094,1.41412907830855
"Bacteria|Firmicutes|Clostridia",FALSE,FALSE,0.200086193227555,0.0547972273414293,0.334742820046139,0.130282807582372,-0.581721651901347,-0.927130993041837
"Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae",FALSE,FALSE,0.0634162119323423,0.553822116857515,0.147446902535173,0.703578312391172,-0.789183000931242,-0.265368184121905
"Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae|Christensenella",FALSE,FALSE,0.567787244833966,0.760031981684527,0.711939116807159,0.851971334307655,-0.224094852285223,-0.128300788336346
